"1004","勘察地形","2025-02-14","电池寿命情况：98%\n","可飞行时长50min\n","天气：晴朗","备注：机身轻微划痕，螺旋桨完好"
"1007","农田喷洒","2025-03-22","电池寿命情况：85%\n","可飞行时长38min\n","天气：多云","备注：右旋翼轻微磨损，已更换新桨"
"1002","城市航拍","2025-04-05","电池寿命情况：92%\n","可飞行时长45min\n","天气：阴天","备注：无故障，云台校准正常"
"1009","森林巡检","2025-05-18","电池寿命情况：76%\n","可飞行时长32min\n","天气：小雨","备注：电池鼓包风险，建议更换，机身防水涂层受损"
"1001","电力巡线","2025-06-10","电池寿命情况：95%\n","可飞行时长48min\n","天气：晴","备注：起落架有磕碰痕迹，电机运转平稳"
"1006","影视拍摄","2025-07-25","电池寿命情况：99%\n","可飞行时长52min\n","天气：微风","备注：全新设备，无任何损耗"
"1003","测绘建模","2025-08-03","电池寿命情况：88%\n","可飞行时长42min\n","天气：沙尘","备注：传感器镜头有积灰，已清理，机身进尘需保养"
"1008","救援演练","2025-09-12","电池寿命情况：80%\n","可飞行时长35min\n","天气：大风","备注：紧急迫降一次，底部外壳破裂，已修复"
"1005","农业监测","2025-10-05","电池寿命情况：90%\n","可飞行时长44min\n","天气：晴朗","备注：药箱挂载点螺丝松动，已紧固"
"1010","夜间巡逻","2025-11-15","电池寿命情况：72%\n","可飞行时长28min\n","天气：雾","备注：夜航灯亮度下降，电池循环次数过高"
"1004","地质勘探","2025-01-20","电池寿命情况：96%\n","可飞行时长49min\n","天气：多云","备注：携带重物导致续航略减，机体结构稳固"
"1001","河流巡查","2025-02-28","电池寿命情况：93%\n","可飞行时长46min\n","天气：晴","备注：起落架沾水，已擦干，无腐蚀"
"1007","景区导览","2025-03-15","电池寿命情况：82%\n","可飞行时长36min\n","天气：阴转雨","备注：避障雷达偶尔误报，已重置系统"
"1003","建筑摄影","2025-04-22","电池寿命情况": "97%\n","可飞行时长51min\n","天气：晴朗","备注：三脚架接口处有细微掉漆"
"1009","林业调查","2025-05-30","电池寿命情况": "78%\n","可飞行时长33min\n","天气：多云","备注：螺旋桨叶尖有裂纹，已强制更换"
"1002","活动记录","2025-06-18","电池寿命情况": "94%\n","可飞行时长47min\n","天气：晴","备注：遥控器天线信号良好，机身无损伤"
"1006","科研采样","2025-07-08","电池寿命情况": "89%\n","可飞行时长43min\n","天气：高海拔低温","备注：低温导致电池性能暂时下降，回暖后恢复"
"1005","交通监控","2025-08-25","电池寿命情况": "91%\n","可飞行时长45min\n","天气：晴","备注：摄像头防抖功能正常，机身轻微灰尘"
"1008","灾害评估","2025-09-29","电池寿命情况": "75%\n","可飞行时长30min\n","天气：暴雨","备注：机身进水保护罩失效，内部电路板需烘干检查"
"1010","边境巡查","2025-10-14","电池寿命情况": "83%\n","可飞行时长37min\n","天气：大风","备注：抗风模式开启，电机负载较高"
"1004","矿产勘探","2025-11-02","电池寿命情况": "95%\n","可飞行时长48min\n","天气：干燥","备注：防尘网堵塞，已清理"
"1001","湿地考察","2025-12-05","电池寿命情况": "87%\n","可飞行时长41min\n","天气：多云","备注：起落架沾染淤泥，清洗后正常"
"1007","婚礼跟拍","2025-01-10","电池寿命情况": "98%\n","可飞行时长50min\n","天气：晴","备注：全程平稳，无异常震动"
"1003","考古发掘","2025-02-05","电池寿命情况": "90%\n","可飞行时长44min\n","天气：多云","备注：低空飞行频繁，电机积尘较多"
"1009","森林防火","2025-03-08","电池寿命情况": "74%\n","可飞行时长29min\n","天气：高温","备注：电池过热保护触发，需冷却后使用"
"1002","物流测试","2025-04-12","电池寿命情况": "86%\n","可飞行时长40min\n","天气：晴","备注：载重飞行，电池发热明显"
"1006","海洋观测","2025-05-20","电池寿命情况": "92%\n","可飞行时长46min\n","天气：海风","备注：盐雾腐蚀防护层需加强检查"
"1005","工地安全","2025-06-25","电池寿命情况": "84%\n","可飞行时长38min\n","天气：扬尘","备注：视觉传感器被灰尘遮挡，擦拭后恢复"
"1008","山地搜救","2025-07-30","电池寿命情况": "77%\n","可飞行时长31min\n","天气：多云","备注：机身有撞击凹痕，结构强度未受影响"
"1010","生态监测","2025-08-15","电池寿命情况": "81%\n","可飞行时长35min\n","天气：小雨","备注：防水性能测试中，电池仓密封性良好"